Processing Time:28.9998054504 msec.
Total injuries and fatalities associated with each motor collision record:
Wall time: 29 ms
+----------+--------------------+-----------------+
|UNIQUE_KEY|All_Fatalities_Count|All_Injured_Count|
|3547626   |0                   |0                |
|3526935   |0                   |0                |
|3526448   |0                   |0                |
|3527513   |0                   |0                |
|3511026   |0                   |0                |
|3510926   |0                   |0                |
|3510905   |0                   |0                |
|3510342   |0                   |3                |
|3438035   |0                   |0                |
|3282479   |0                   |0                |
|3436811   |0                   |0                |
|3558108   |0                   |0                |
|3554055   |0                   |0                |
|3548401   |0                   |0                |
|3547795   |0                   |0                |
|3553811   |0                   |0                |
|3548867   |0                   |0                |
|3547905   |0                   |0                |
|3548630   |0                   |0                |
|3547977   |0                   |0                |
|3550961   |0                   |0                |
|3548582   |0                   |0                |
|3548021   |0                   |0                |
|3547870   |0                   |0                |
|3525730   |0                   |2                |
|3527525   |0                   |2                |
|3526682   |0                   |3                |
|3530056   |0                   |2                |
|3525946   |0                   |2                |
|3525702   |0                   |6                |
|3526096   |0                   |6                |
|3525980   |0                   |6                |
|3526028   |0                   |0                |
|3526817   |0                   |2                |
|3526296   |0                   |0                |
|3526045   |0                   |0                |
|3579411   |0                   |0                |
|3580573   |0                   |0                |
|3579277   |0                   |0                |
|3438226   |0                   |0                |
|3439060   |0                   |0                |
|3445161   |0                   |0                |
|3436760   |0                   |0                |
|3437604   |0                   |0                |
|3439369   |0                   |0                |
|3436841   |0                   |2                |
|3572235   |0                   |2                |
|3436862   |0                   |0                |
|3556783   |0                   |0                |
|3525723   |0                   |0                |
|3525743   |0                   |0                |
|3528506   |0                   |0                |
|3528477   |0                   |0                |
|3535409   |0                   |0                |
|3511087   |0                   |0                |
|3509521   |0                   |0                |
|3509563   |0                   |0                |
|3311657   |0                   |0                |
|3526859   |0                   |0                |
|3508798   |0                   |0                |
|3440867   |0                   |0                |
|3450091   |0                   |2                |
|3439661   |0                   |0                |
|3439794   |0                   |0                |
|3440036   |0                   |0                |
|3439716   |0                   |0                |
|3437472   |0                   |0                |
|3440324   |0                   |0                |
|3508147   |0                   |0                |
|3438297   |0                   |0                |
|3438620   |0                   |0                |
|3437832   |0                   |0                |
|3439621   |0                   |0                |
|3443686   |0                   |0                |
